Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2023;00:00;00:00;42.115.367,75;23.941.189,25;1.310.524,5
01.02.2023;00:00;00:00;38.133.598,25;23.781.954;1.001.122,25
01.03.2023;00:00;00:00;40.875.227;22.646.401,5;1.369.451,75
01.04.2023;00:00;00:00;36.144.688,75;20.658.204;1.348.171,25
01.05.2023;00:00;00:00;36.318.209,5;20.145.865;1.317.937,25
01.06.2023;00:00;00:00;35.479.201,25;20.680.621,5;1.009.426,25
01.07.2023;00:00;00:00;36.264.123,5;18.480.145,5;863.374
01.08.2023;00:00;00:00;36.301.119,5;22.845.834,75;1.003.669
01.09.2023;00:00;00:00;35.807.797,5;22.550.923;1.126.620,75
01.10.2023;00:00;00:00;38.924.280,25;21.262.632;1.375.338,75
01.11.2023;00:00;00:00;40.986.836,5;22.934.873;1.102.048
